순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%),총카운트
1,005930,삼성전자,"51,600","700","1.4","13,905,263","712,205,749,565","51,700","51,700","50,600","331,237,154,520,000","17.16","6,419,324,700","3,387,354,337","52.77",2311
2,000660,SK하이닉스,"85,800","2,400","2.9","3,274,963","279,371,930,400","85,400","85,800","84,500","62,462,602,917,000","3.24","728,002,365","365,103,820","50.15",
3,005935,삼성전자우,"40,950","400","1.0","1,600,837","64,990,623,810","41,150","41,350","40,300","37,003,607,550,000","1.92","903,629,000","839,339,418","92.89",
4,005380,현대차,"152,000","-1,500","-1.0","747,954","113,613,475,728","152,500","154,000","150,500","33,482,024,808,000","1.73","220,276,479","102,005,773","46.31",
5,068270,셀트리온,"259,000","0","0.0","1,328,424","342,738,316,500","260,000","264,000","252,500","32,403,069,643,000","1.68","125,108,377","27,356,786","21.87",
6,005490,POSCO,"359,500","9,000","2.6","224,085","79,968,049,000","353,000","360,000","350,000","31,343,667,182,500","1.62","87,186,835","50,229,206","57.61",
7,207940,삼성바이오로직스,"389,500","-8,500","-2.1","590,034","232,599,564,500","404,000","410,500","380,500","25,771,267,500,000","1.33","66,165,000","6,456,099","9.76",
8,105560,KB금융,"58,000","-200","-0.3","945,925","55,205,938,570","58,100","59,300","58,000","24,250,469,146,000","1.26","418,111,537","291,748,907","69.78",
9,028260,삼성물산,"127,000","-2,000","-1.6","637,197","81,597,019,500","130,000","131,000","127,000","24,090,635,461,000","1.25","189,690,043","20,892,196","11.01",
10,051910,LG화학,"340,000","500","0.2","189,496","64,644,406,500","339,500","344,500","337,500","24,001,396,620,000","1.24","70,592,343","28,307,830","40.10",
11,035420,NAVER,"720,000","-7,000","-1.0","83,361","60,301,453,000","730,000","735,000","718,000","23,733,128,880,000","1.23","32,962,679","19,677,411","59.70",
12,015760,한국전력,"35,900","200","0.6","1,623,420","57,922,072,850","35,700","36,200","35,000","23,046,510,364,300","1.19","641,964,077","190,855,513","29.73",
13,055550,신한지주,"48,000","1,300","2.8","1,097,288","52,336,581,256","47,350","48,000","46,950","22,761,580,176,000","1.18","474,199,587","330,679,990","69.73",
14,012330,현대모비스,"231,500","-3,500","-1.5","260,513","60,285,515,500","235,000","237,000","229,000","22,535,104,284,500","1.17","97,343,863","46,499,785","47.77",
15,032830,삼성생명,"112,000","0","0.0","221,126","24,894,079,000","112,000","114,000","112,000","22,400,000,000,000","1.16","200,000,000","31,915,892","15.96",
16,034730,SK,"297,000","1,500","0.5","137,280","40,790,435,000","295,500","299,500","294,500","20,897,008,209,000","1.08","70,360,297","17,494,201","24.86",
17,051900,LG생활건강,"1,309,000","-22,000","-1.6","24,860","32,377,729,086","1,313,000","1,324,000","1,281,000","20,444,219,873,000","1.06","15,618,197","7,251,768","46.43",
18,090430,아모레퍼시픽,"342,500","-8,000","-2.3","255,540","88,149,613,723","352,500","356,000","341,500","20,022,032,825,000","1.04","58,458,490","19,867,239","33.99",
19,096770,SK이노베이션,"203,000","1,000","0.5","282,867","57,111,757,920","202,000","203,000","199,000","18,770,509,492,000","0.97","92,465,564","38,769,830","41.93",
20,017670,SK텔레콤,"222,500","-3,500","-1.6","267,451","59,992,869,500","226,500","226,500","222,500","17,965,920,697,500","0.93","80,745,711","32,976,963","40.84",
21,018260,삼성에스디에스,"222,000","3,500","1.6","94,733","20,964,237,500","219,500","223,000","218,000","17,177,871,600,000","0.89","77,377,800","8,920,967","11.53",
22,066570,LG전자,"95,200","-100","-0.1","751,327","71,893,259,800","95,000","97,500","94,700","15,579,271,892,800","0.81","163,647,814","57,076,028","34.88",
23,003550,LG,"81,100","3,500","4.5","443,695","35,697,513,200","78,400","81,100","78,300","13,994,383,324,100","0.72","172,557,131","58,076,389","33.66",
24,033780,KT&G,"100,500","4,400","4.6","522,158","51,691,877,600","96,100","100,500","96,000","13,797,895,948,500","0.71","137,292,497","73,352,407","53.43",
25,086790,하나금융지주,"45,800","300","0.7","676,674","31,032,767,050","45,400","46,400","45,300","13,751,086,439,600","0.71","300,242,062","216,650,883","72.16",
26,000270,기아차,"33,450","-100","-0.3","961,506","32,145,299,708","33,600","34,000","33,000","13,559,403,957,150","0.70","405,363,347","155,822,317","38.44",
27,011170,롯데케미칼,"383,000","-6,000","-1.5","116,434","44,684,981,500","389,000","391,500","380,500","13,127,485,477,000","0.68","34,275,419","11,287,304","32.93",
28,006400,삼성SDI,"190,500","-500","-0.3","395,033","75,451,262,000","190,000","192,500","189,000","13,099,642,965,000","0.68","68,764,530","27,562,167","40.08",
29,091990,셀트리온헬스케어,"91,200","3,100","3.5","1,462,061","131,615,143,300","89,400","91,600","87,700","12,792,741,465,600","0.66","140,271,288","46,123,281","32.88",
30,000810,삼성화재,"269,500","-2,500","-0.9","69,540","18,744,373,500","269,000","272,000","268,500","12,767,518,571,500","0.66","47,374,837","24,311,506","51.32",
31,010950,S-Oil,"106,000","0","0.0","220,132","23,390,430,000","107,500","107,500","105,500","11,933,775,952,000","0.62","112,582,792","86,438,180","76.78",
32,251270,넷마블,"140,000","5,000","3.7","251,083","34,823,866,000","135,000","140,000","135,000","11,914,158,620,000","0.62","85,101,133","22,309,922","26.22",
33,002790,아모레G,"133,500","-5,500","-4.0","231,008","31,043,086,000","139,000","141,000","132,000","11,008,167,030,000","0.57","82,458,180","16,882,191","20.47",
34,000030,우리은행,"15,700","150","1.0","1,562,750","24,539,724,850","15,550","15,900","15,500","10,613,200,000,000","0.55","676,000,000","177,257,069","26.22",
35,024110,기업은행,"16,750","0","0.0","854,861","14,419,233,900","16,700","17,050","16,700","9,379,645,151,250","0.49","559,978,815","133,027,408","23.76",
36,009150,삼성전기,"123,000","1,500","1.2","749,772","92,106,821,000","122,500","124,000","120,500","9,187,324,608,000","0.48","74,693,696","18,845,387","25.23",
37,035720,카카오,"117,000","4,000","3.5","840,339","97,757,256,500","113,000","118,000","111,000","8,924,002,074,000","0.46","76,273,522","18,512,727","24.27",
38,004020,현대제철,"65,700","3,000","4.8","1,966,270","128,786,347,500","64,200","66,500","63,700","8,767,388,074,500","0.45","133,445,785","33,343,908","24.99",
39,009540,현대중공업,"125,500","1,000","0.8","465,872","59,075,686,000","125,000","129,500","124,500","8,680,260,963,000","0.45","69,165,426","11,781,463","17.03",
40,010130,고려아연,"435,000","6,000","1.4","26,418","11,483,647,000","429,500","436,500","429,500","8,208,450,000,000","0.43","18,870,000","4,777,877","25.32",
41,034220,LG디스플레이,"22,400","-100","-0.4","2,135,653","48,137,262,700","22,450","23,000","22,250","8,015,071,680,000","0.42","357,815,700","92,057,138","25.73",
42,036570,엔씨소프트,"347,000","-11,500","-3.2","701,565","258,877,205,640","358,500","394,000","347,000","7,612,840,634,000","0.39","21,939,022","10,563,607","48.15",
43,139480,이마트,"270,000","13,000","5.1","147,645","39,032,160,500","255,500","271,500","255,500","7,526,471,130,000","0.39","27,875,819","13,682,429","49.08",
44,030200,KT,"27,200","-300","-1.1","937,683","26,056,807,921","27,400","27,500","27,200","7,102,241,177,600","0.37","261,111,808","127,944,785","49.00",
45,267250,현대중공업지주,"433,000","24,500","6.0","74,068","31,453,614,500","410,000","433,000","407,500","7,052,105,161,000","0.37","16,286,617","3,562,176","21.87",
46,000720,현대건설,"63,300","900","1.4","5,547,427","358,329,756,700","65,300","66,700","63,100","7,048,819,924,500","0.37","111,355,765","22,779,304","20.46",
47,004990,롯데지주,"60,600","300","0.5","174,192","10,516,852,700","60,400","60,900","60,000","6,886,336,388,400","0.36","113,635,914","14,416,771","12.69",
48,021240,코웨이,"91,300","-100","-0.1","172,690","15,794,500,800","91,300","93,000","90,100","6,737,905,214,700","0.35","73,799,619","44,330,716","60.07",
49,023530,롯데쇼핑,"235,500","2,000","0.9","164,318","38,627,214,000","235,000","239,000","231,000","6,622,742,068,500","0.34","28,122,047","5,765,318","20.50",
50,006800,미래에셋대우,"9,540","70","0.7","2,477,770","23,760,796,510","9,520","9,680","9,520","6,356,658,532,320","0.33","666,316,408","78,067,187","11.72",
51,035250,강원랜드,"28,650","0","0.0","565,948","16,059,770,850","28,550","28,900","28,000","6,129,395,325,000","0.32","213,940,500","60,783,577","28.41",
52,161390,한국타이어,"48,650","950","2.0","282,590","13,605,275,900","47,500","48,650","47,500","6,026,522,106,850","0.31","123,875,069","50,399,931","40.69",
53,086280,현대글로비스,"155,500","-3,000","-1.9","265,407","41,237,902,500","158,500","160,000","152,500","5,831,250,000,000","0.30","37,500,000","12,283,433","32.76",
54,018880,한온시스템,"10,900","100","0.9","577,001","6,254,311,250","10,800","10,950","10,750","5,818,420,000,000","0.30","533,800,000","106,004,885","19.86",
55,078930,GS,"61,800","200","0.3","204,046","12,667,398,600","62,000","62,800","61,500","5,742,170,360,400","0.30","92,915,378","18,426,048","19.83",
56,032640,LG유플러스,"12,900","250","2.0","1,085,282","13,839,874,200","12,550","12,900","12,550","5,632,286,556,900","0.29","436,611,361","168,057,157","38.49",
57,097950,CJ제일제당,"359,500","17,500","5.1","188,281","66,983,314,500","340,500","363,500","338,500","5,411,620,367,000","0.28","15,053,186","3,111,909","20.67",
58,128940,한미약품,"459,000","-10,500","-2.2","51,105","23,554,349,500","475,000","475,000","457,000","5,226,032,169,000","0.27","11,385,691","1,471,258","12.92",
59,088350,한화생명,"6,010","60","1.0","1,110,645","6,666,661,810","5,940","6,080","5,940","5,219,865,300,000","0.27","868,530,000","160,494,318","18.48",
60,036460,한국가스공사,"55,900","2,200","4.1","446,426","25,105,679,300","55,000","57,100","54,800","5,160,296,700,000","0.27","92,313,000","9,994,165","10.83",
61,271560,오리온,"130,500","-1,000","-0.8","85,078","11,248,426,500","131,500","135,000","128,000","5,159,121,880,500","0.27","39,533,501","16,047,106","40.59",
62,071050,한국금융지주,"91,400","4,100","4.7","163,452","14,753,236,800","86,800","91,600","86,800","5,093,355,668,800","0.26","55,725,992","19,389,488","34.79",
63,010140,삼성중공업,"7,980","270","3.5","7,562,733","60,344,866,450","7,820","8,100","7,790","5,027,400,000,000","0.26","630,000,000","113,229,501","17.97",
64,008770,호텔신라,"123,000","2,000","1.6","379,591","45,803,650,000","120,500","123,000","118,500","4,827,518,883,000","0.25","39,248,121","12,410,270","31.62",
65,004800,효성,"136,500","4,000","3.0","241,447","32,791,935,500","132,500","137,500","132,000","4,793,532,607,500","0.25","35,117,455","6,984,560","19.89",
66,001040,CJ,"164,000","1,500","0.9","186,486","30,280,041,500","161,500","165,500","159,000","4,785,027,672,000","0.25","29,176,998","5,712,831","19.58",
67,009830,한화케미칼,"29,000","1,500","5.4","1,273,757","36,470,313,850","27,750","29,150","27,700","4,779,471,411,000","0.25","164,809,359","47,119,412","28.59",
68,215600,신라젠,"68,800","-1,100","-1.6","2,045,440","141,792,027,200","70,300","71,200","67,700","4,773,759,070,400","0.25","69,386,033","6,033,763","8.70",
